%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
27.0, 32444.98758852334, 21461.899156796833, -187500.02235174447, -187500.02235174447, 187500.0, -39700.43089394938, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027830069172E9, 0.0, 2025-05-17 10:26:23.006
28.0, 32714.259053976424, 21414.468755062673, -187500.02235174447, -187500.02235174447, 187500.0, -39619.83050344354, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502783006932E9, 0.0, 2025-05-17 10:26:23.006
29.0, 32803.39781086419, 21227.451709205117, -187500.02235174447, -187500.02235174447, 187500.0, -39819.16336049597, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502783006944E9, 0.0, 2025-05-17 10:26:23.006
29.0, 32803.39781086419, 21227.451709205117, -187500.02235174447, -187500.02235174447, 187500.0, -39819.16336049597, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74750278306819E9, 0.0, 2025-05-17 10:26:23.068
30.0, 32585.960040802962, 21246.38363675876, -187500.02235174447, -187500.02235174447, 187500.0, -39742.47452526981, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74750278306822E9, 0.0, 2025-05-17 10:26:23.068
31.0, 32308.73135432379, 21409.327853837953, -187500.02235174447, -187500.02235174447, 187500.0, -39438.401393699816, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027830842872E9, 0.0, 2025-05-17 10:26:23.084
32.0, 32544.117575182627, 21425.689330779234, -187500.02235174447, -187500.02235174447, 187500.0, -39234.35231856732, -187500.02235174447, -187500.02235174447, 0.058, 0.802, -0.536, 192.0, 1.0, 208.0, 25.0, 16.0, 239.0, 64.0, 0.0, 0.0, 0.0, 1.7475027831003425E9, 0.0, 2025-05-17 10:26:23.100
33.0, 32834.042052512414, 21244.34962801333, -187500.02235174447, -187500.02235174447, 187500.0, -39438.3566902109, -187500.02235174447, -187500.02235174447, 0.058, 0.802, -0.536, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027831164489E9, 0.0, 2025-05-17 10:26:23.116
34.0, 32649.729567733953, 21222.288456235943, -187500.02235174447, -187500.02235174447, 187500.0, -39414.46267538818, -187500.02235174447, -187500.02235174447, 0.058, 0.802, -0.536, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027831646566E9, 0.0, 2025-05-17 10:26:23.164
78.0, 32740.2764845224, 21450.030380491065, -187500.02235174447, -187500.02235174447, 187500.0, -37764.90393458652, -187500.02235174447, -187500.02235174447, 0.058, 0.802, -0.536, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502783180804E9, 0.0, 2025-05-17 10:26:23.180
37.0, 32842.06632877187, 21285.767410489014, -187500.02235174447, -187500.02235174447, 187500.0, -39120.648994523166, -187500.02235174447, -187500.02235174447, 0.058, 0.802, -0.536, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502783261147E9, 0.0, 2025-05-17 10:26:23.261
94.0, 33034.29133108751, 21711.232866195784, -187500.02235174447, -187500.02235174447, 187500.0, -37221.7341925781, -187500.02235174447, -187500.02235174447, 0.058, 0.802, -0.536, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027833576355E9, 0.0, 2025-05-17 10:26:23.357
37.0, 31108.06269741806, 21443.436615876748, -187500.02235174447, -187500.02235174447, 187500.0, -37217.91204427624, -187500.02235174447, -187500.02235174447, 0.03, 0.918, -0.22, 192.0, 0.0, 240.0, 28.0, 176.0, 249.0, 32.0, 0.0, 0.0, 0.0, 1.7475027841777422E9, 0.0, 2025-05-17 10:26:24.177
67.0, 32283.607993556023, 21691.898607241943, -187500.02235174447, -187500.02235174447, 187500.0, -37868.30310443677, -187500.02235174447, -187500.02235174447, 0.044, 0.874, -0.28800000000000003, 192.0, 1.0, 96.0, 27.0, 80.0, 247.0, 0.0, 0.0, 0.0, 0.0, 1.7475027841937692E9, 0.0, 2025-05-17 10:26:24.193
95.0, 30509.37122218266, 21336.550573891473, -187500.02235174447, -187500.02235174447, 187500.0, -37860.30117992177, -187500.02235174447, -187500.02235174447, 0.044, 0.874, -0.28800000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027842580657E9, 0.0, 2025-05-17 10:26:24.258
91.0, 30590.35159234424, 21375.621423199347, -187500.02235174447, -187500.02235174447, 187500.0, -37878.87547956413, -187500.02235174447, -187500.02235174447, 0.044, 0.874, -0.28800000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502784331458E9, 0.0, 2025-05-17 10:26:24.331
88.0, 32556.500441610868, 21801.198637628393, -187500.02235174447, -187500.02235174447, 187500.0, -38097.07320893684, -187500.02235174447, -187500.02235174447, 0.04, 0.848, -0.318, 192.0, 1.0, 64.0, 26.0, 128.0, 246.0, 16.0, 0.0, 0.0, 0.0, 1.7475027843314931E9, 0.0, 2025-05-17 10:26:24.331
89.0, 33034.559552020975, 21768.11805583454, -187500.02235174447, -187500.02235174447, 187500.0, -38063.50088876497, -187500.02235174447, -187500.02235174447, 0.04, 0.848, -0.318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502784331514E9, 0.0, 2025-05-17 10:26:24.331
125.0, 31397.428381136466, 21531.07780588601, -187500.02235174447, -187500.02235174447, 187500.0, -37957.285399113345, -187500.02235174447, -187500.02235174447, 0.04, 0.848, -0.318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027844279087E9, 0.0, 2025-05-17 10:26:24.427
32.0, 31269.330533663102, 21844.426911404957, -187500.02235174447, -187500.02235174447, 187500.0, -36458.37741594046, -187500.02235174447, -187500.02235174447, 0.04, 0.848, -0.318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027851033492E9, 0.0, 2025-05-17 10:26:25.103
203.0, 29522.385242269665, 21462.167377730297, -187500.02235174447, -187500.02235174447, 187500.0, -37499.20874824628, -187500.02235174447, -187500.02235174447, 0.04, 0.848, -0.318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027856489549E9, 0.0, 2025-05-17 10:26:25.648
204.0, 32209.958995575787, 21995.569407411745, -187500.02235174447, -187500.02235174447, 187500.0, -37708.01874494776, -187500.02235174447, -187500.02235174447, 0.038, 0.966, -0.366, 192.0, 1.0, 48.0, 30.0, 48.0, 244.0, 144.0, 0.0, 0.0, 0.0, 1.7475027856489887E9, 0.0, 2025-05-17 10:26:25.648
205.0, 30770.6631148652, 21469.990488289655, -187500.02235174447, -187500.02235174447, 187500.0, -37507.61300416148, -187500.02235174447, -187500.02235174447, 0.038, 0.966, -0.366, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027856651049E9, 0.0, 2025-05-17 10:26:25.665
247.0, 33593.59903259266, 21393.771039697058, -187500.02235174447, -187500.02235174447, 187500.0, -38055.498964249964, -187500.02235174447, -187500.02235174447, 0.038, 0.966, -0.366, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027859866445E9, 0.0, 2025-05-17 10:26:25.986
253.0, 32489.556966967222, 21450.05273223552, -187500.02235174447, -187500.02235174447, 187500.0, -38182.27805880047, -187500.02235174447, -187500.02235174447, 0.038, 0.966, -0.366, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74750278605096E9, 0.0, 2025-05-17 10:26:26.050
253.0, 32489.556966967222, 21450.05273223552, -187500.02235174447, -187500.02235174447, 187500.0, -38182.27805880047, -187500.02235174447, -187500.02235174447, 0.038, 0.966, -0.366, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74750278609917E9, 0.0, 2025-05-17 10:26:26.099
88.0, 30165.467281993304, 21480.58521516147, -187500.02235174447, -187500.02235174447, 187500.0, -37447.0397766876, -187500.02235174447, -187500.02235174447, -0.028, 0.8220000000000001, -0.362, 192.0, 255.0, 32.0, 25.0, 176.0, 244.0, 176.0, 0.0, 0.0, 0.0, 1.7475027861634798E9, 0.0, 2025-05-17 10:26:26.163
72.0, 31006.56342584651, 21801.958596939876, -187500.02235174447, -187500.02235174447, 187500.0, -37485.75299808419, -187500.02235174447, -187500.02235174447, -0.028, 0.8220000000000001, -0.362, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027864368432E9, 0.0, 2025-05-17 10:26:26.436
126.0, 30739.437727861135, 21632.934705368843, -187500.02235174447, -187500.02235174447, 187500.0, -37490.04453301961, -187500.02235174447, -187500.02235174447, -0.028, 0.8220000000000001, -0.362, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027865654912E9, 0.0, 2025-05-17 10:26:26.565
163.0, 30330.154935140006, 21456.512386383103, -187500.02235174447, -187500.02235174447, 187500.0, -36771.65946622604, -187500.02235174447, -187500.02235174447, -0.028, 0.8220000000000001, -0.362, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027866298485E9, 0.0, 2025-05-17 10:26:26.629
132.0, 35286.766026826626, 22219.176258942636, -187500.02235174447, -187500.02235174447, 187500.0, -38157.17704977716, -187500.02235174447, -187500.02235174447, -0.028, 0.8220000000000001, -0.362, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502786871025E9, 0.0, 2025-05-17 10:26:26.871
242.0, 31566.20640351849, 21807.12184990905, -187500.02235174447, -187500.02235174447, 187500.0, -37689.466797049856, -187500.02235174447, -187500.02235174447, -0.028, 0.8220000000000001, -0.362, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502787932381E9, 0.0, 2025-05-17 10:26:27.932
